id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code,condition_id
4377,289,2/26/2014 12:27,Market at Sansome,55,2/26/2014 12:32,Temporary Transbay Terminal (Howard at Beale),56,471,Subscriber,94965,94
4600,291,2/26/2014 14:33,San Pedro Square,63,2/26/2014 14:38,San Jose City Hall,57,57,Subscriber,95138,94
4959,292,2/26/2014 19:18,Townsend at 7th,64,2/26/2014 19:23,San Francisco Caltrain 2 (330 Townsend),61,361,Customer,94109,94
4828,293,2/26/2014 17:41,Palo Alto Caltrain Station,58,2/26/2014 17:46,University and Emerson,59,160,Subscriber,94107,94
4450,298,2/26/2014 13:01,Embarcadero at Vallejo,59,2/26/2014 13:06,Davis at Jackson,57,598,Subscriber,94109,94
4558,298,2/26/2014 13:57,Embarcadero at Bryant,55,2/26/2014 14:02,Harry Bridges Plaza (Ferry Building),60,275,Subscriber,94109,94
4657,298,2/26/2014 15:30,5th at Howard,57,2/26/2014 15:35,5th at Howard,57,631,Subscriber,94123,94
4796,305,2/26/2014 17:22,Civic Center BART (7th at Market),63,2/26/2014 17:27,Market at 4th,58,332,Subscriber,94110,94
4331,307,1/31/2014 12:12,University and Emerson,59,1/31/2014 12:17,Cowper at University,62,144,Subscriber,94025,68
4280,309,1/31/2014 11:53,San Francisco City Hall,58,1/31/2014 11:58,South Van Ness at Market,64,636,Subscriber,94117,68
4290,309,1/31/2014 11:58,Powell Street BART,55,1/31/2014 12:03,Market at 10th,60,496,Customer,94107,68
4876,309,1/31/2014 18:09,2nd at Townsend,61,1/31/2014 18:14,San Francisco Caltrain 2 (330 Townsend),57,565,Customer,95126,68
4766,315,1/31/2014 17:05,San Mateo County Center,57,1/31/2014 17:10,San Mateo County Center,57,227,Subscriber,94402,68
4871,316,8/29/2013 18:06,5th at Howard,57,8/29/2013 18:11,San Francisco Caltrain (Townsend at 4th),64,348,Customer,94107,97
5078,318,8/29/2013 21:53,Civic Center BART (7th at Market),63,8/29/2013 21:59,Powell Street BART,57,611,Subscriber,94115,97
4744,319,8/29/2013 16:52,5th at Howard,57,8/29/2013 16:57,San Francisco Caltrain (Townsend at 4th),59,379,Customer,95032,97
4376,320,8/29/2013 12:27,Clay at Battery,56,8/29/2013 12:32,Harry Bridges Plaza (Ferry Building),56,534,Subscriber,94115,97
4392,323,1/21/2014 12:34,Harry Bridges Plaza (Ferry Building),55,1/21/2014 12:39,Embarcadero at Vallejo,59,428,Subscriber,94123,58
